year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Other Diatoms (cells/L),Other Dinoflagellates (cells/L),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (C),Volume for counting (mL)
2008,8,4,14:50:00,34.008,-118.499,0,Santa Monica Pier,0,0,3.94,2.41953,2.41953,NaN,200,94,NaN,654,1.32,0.14,6171,2712,NaN,NaN,NaN,0.45,1683,1776,654,4.81,NaN,21,500
2008,8,4,15:25:00,32.867,-117.257,0,Scripps Pier,0,0,0.21,1.9,1.95,1.85,200,0,NaN,0,0.08,0,NaN,NaN,0.38,0.41,0.35,0.16,480,1200,0,4.4,50,23,NaN
2008,8,5,16:20:00,34.408,-119.685,0,Stearns Wharf,500,0,1.442,1.24,1.24,NaN,200,700,0,18000,0.498,0.03,NaN,NaN,0.58,0.58,NaN,0.261,5000,2300,2700,5.44,50,19.4,NaN
2008,8,7,16:15:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.15,1.48,1.52,1.43,NaN,NaN,NaN,NaN,0.23,0.01,NaN,NaN,0.23,0.22,0.23,0.21,NaN,NaN,NaN,4.3,NaN,23.9,NaN
2008,8,11,15:00:00,33.6061,-117.9311,0,Newport Pier,0,0,1.26,0.78,0.07,1.49,200,0,NaN,15599,0.49,NaN,NaN,NaN,1.3,2.1,0.5,0.32,5200,0,0,5.4,25,21.5,NaN
2008,8,11,15:33:00,34.408,-119.685,0,Stearns Wharf,0,0,NaN,NaN,3.57,NaN,200,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0.77,NaN,NaN,19300,24900,0,NaN,50,17.5,NaN
2008,8,11,16:00:00,32.867,-117.257,0,Scripps Pier,0,0,0.41,1.8,1.91,1.69,200,0,NaN,0,0.2,0.01,NaN,NaN,0.63,0.66,0.6,0.33,640,9440,2080,3.3,50,22,NaN
2008,8,11,16:45:00,34.408,-119.685,0,Stearns Wharf,0,0,1.527,2.21,2.21,NaN,200,400,0.1,65400,0.372,0.114,NaN,NaN,0.46,0.46,NaN,0.483,5000,0,540,4.565,50,18.4,NaN
2008,8,14,14:45:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.29,0.88,0.9,0.86,200,NaN,NaN,NaN,0.17,0,NaN,NaN,0.24,0.25,0.23,0.28,NaN,NaN,NaN,3.5,NaN,20.4,NaN
2008,8,15,18:15:00,35.17,-120.741,0,Cal Poly Pier,3199,9596,NaN,4.19,4.2,4.18,250,0,NaN,0,NaN,NaN,30922,29856,1.41,1.22,1.6,NaN,30922,0,3199,NaN,25,14.9,NaN
2008,8,18,14:40:00,34.008,-118.499,0,Santa Monica Pier,0,0,1.86,2.15896,2.15896,NaN,200,187,NaN,6358,1.05,0.17,374,3272,NaN,NaN,NaN,0.34,1028,374,0,4.22,NaN,21,500
2008,8,18,15:05:00,32.867,-117.257,0,Scripps Pier,0,0,0.08,1.82,1.86,1.78,200,0,NaN,0,0.16,0,NaN,NaN,0.44,0.43,0.44,0.24,400,2640,480,3.3,50,24.4,NaN
2008,8,18,16:03:00,33.6061,-117.9311,0,Newport Pier,0,0,3.24,7.54,6.81,8.26,200,0,NaN,103994,0.53,NaN,NaN,NaN,0.75,1.1,0.4,0.32,5200,0,0,5,25,19.5,NaN
2008,8,18,16:40:00,34.408,-119.685,0,Stearns Wharf,150,0,1.113,1.64,1.64,NaN,200,600,0,18500,0.367,0.153,NaN,NaN,0.82,0.82,NaN,0.505,7000,0,0,6.755,50,18.9,NaN
2008,8,19,16:00:00,35.17,-120.741,0,Cal Poly Pier,2133,0,NaN,7.74,8.15,7.33,250,0,NaN,1066,NaN,NaN,0,0,1.81,2.08,1.54,NaN,21326,24524,41585,NaN,25,15.5,NaN
2008,8,21,14:58:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0,1.77,1.77,1.76,NaN,NaN,NaN,NaN,0.13,0,NaN,NaN,0.55,0.54,0.55,0.25,NaN,NaN,NaN,3.5,NaN,21.9,NaN
2008,8,25,15:05:00,32.867,-117.257,0,Scripps Pier,0,0,1.09,1.73,1.73,1.72,NaN,0,NaN,0,0.19,0.01,NaN,NaN,0.47,0.44,0.49,0.27,160,160,0,3.4,50,19.7,NaN
2008,8,25,15:15:00,33.6061,-117.9311,0,Newport Pier,0,0,6.11,4.73,4.37,5.09,200,0,NaN,57197,0.89,0.21,NaN,NaN,1.55,1.7,1.4,0.31,36398,25998,0,3,25,20,NaN
2008,8,25,17:00:00,34.408,-119.685,0,Stearns Wharf,300,0,3.221,0.92,0.92,NaN,200,150,0,9000,0.509,0.15,NaN,NaN,0.64,0.64,NaN,0.569,3500,200,1200,8.279,50,19.6,NaN
2008,8,26,14:45:00,34.008,-118.499,0,Santa Monica Pier,0,0,1.05,2.02728,2.02728,NaN,200,187,NaN,7760,0.93,0.06,13464,2712,NaN,NaN,NaN,0.3,4114,0,0,3.93,NaN,21,500
2008,8,26,21:50:00,35.17,-120.741,0,Cal Poly Pier,0,2133,NaN,7.39,7.51,7.26,250,0,NaN,0,NaN,NaN,187665,106628,0.94,0.94,0.95,NaN,8530,38386,8530,NaN,25,17.8,NaN
2008,8,28,15:15:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,1.15,1.78,1.77,1.78,NaN,NaN,NaN,NaN,0.33,0,NaN,NaN,0.22,0.21,0.22,0.23,NaN,NaN,NaN,3.6,NaN,22.6,NaN
2008,9,2,15:20:00,33.6061,-117.9311,0,Newport Pier,0,0,2.84,1.81,1.62,2.01,200,0,NaN,0,0.65,NaN,NaN,NaN,1.15,1.4,0.9,0.18,5200,46797,0,2.7,25,22,NaN
2008,9,2,16:00:00,35.17,-120.741,0,Cal Poly Pier,12795,0,NaN,12.38,14.13,10.62,175,6398,NaN,4265,NaN,NaN,181267,194062,2.13,2.46,1.8,NaN,379594,0,0,NaN,25,16,NaN
2008,9,2,16:45:00,34.408,-119.685,0,Stearns Wharf,350,0,2.117,2.4,2.4,NaN,200,2000,0,2900,0.501,0.043,NaN,NaN,0.72,0.72,NaN,0.246,16900,3300,3500,4.473,50,21,NaN
2008,9,2,16:45:00,32.867,-117.257,0,Scripps Pier,0,0,0.8,1.35,1.37,1.33,200,0,NaN,0,0.17,0.01,NaN,NaN,0.21,0.2,0.22,0.25,80,0,0,4,50,21.8,NaN
2008,9,2,17:30:00,34.008,-118.499,0,Santa Monica Pier,0,0,0.18,NaN,NaN,NaN,200,0,NaN,0,0.32,0.07,1309,935,NaN,NaN,NaN,0.18,1122,0,0,3.82,NaN,22.5,500
2008,9,4,15:05:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.26,1.87,1.87,1.86,NaN,NaN,NaN,NaN,0.17,0,NaN,NaN,0.22,0.21,0.22,0.2,NaN,NaN,NaN,3.8,NaN,22.1,NaN
2008,9,8,14:45:00,32.867,-117.257,0,Scripps Pier,0,0,0.4,1.66,1.64,1.68,200,80,NaN,0,0.14,0.03,NaN,NaN,0.3,0.28,0.31,0.22,720,160,0,3.6,50,21.6,NaN
2008,9,8,14:56:00,33.6061,-117.9311,0,Newport Pier,0,0,4.09,2.5,2.51,2.48,200,0,NaN,5200,0.94,0.31,NaN,NaN,0.75,0.7,0.8,0.16,0,0,0,NaN,25,20.5,NaN
2008,9,8,16:20:00,35.17,-120.741,0,Cal Poly Pier,4265,10663,NaN,24.21,23.96,24.46,175,14928,NaN,2133,NaN,NaN,12795,264437,2.1,1.99,2.21,NaN,292160,17060,4265,NaN,25,16.3,NaN
2008,9,8,16:45:00,34.408,-119.685,0,Stearns Wharf,0,0,2.454,5.47,5.47,NaN,200,700,0,43400,0.496,0.151,NaN,NaN,1.56,1.56,NaN,0.6,24200,150,300,7.639,50,17.8,NaN
2008,9,8,21:50:00,34.008,-118.499,0,Santa Monica Pier,0,0,0.96,1.6038,1.6038,NaN,200,94,NaN,0,0.45,0.05,4956,935,NaN,NaN,NaN,0.26,1870,187,0,4.47,NaN,22,500
2008,9,11,15:55:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.39,1.92,1.93,1.91,NaN,NaN,NaN,NaN,0.16,0.01,NaN,NaN,0.29,0.28,0.29,0.21,NaN,NaN,NaN,3.4,NaN,22,NaN
2008,9,15,14:50:00,32.867,-117.257,0,Scripps Pier,0,0,0.22,3.88,3.95,3.8,200,240,NaN,160,0.16,0.01,NaN,NaN,0.51,0.46,0.56,0.23,1920,960,0,3.9,50,19.2,NaN
2008,9,15,16:30:00,34.008,-118.499,0,Santa Monica Pier,0,0,1.12,3.2076,3.2076,NaN,200,187,NaN,654,0.74,0.2,3366,6078,NaN,NaN,NaN,0.36,7200,374,0,4.99,NaN,19.3,500
2008,9,15,16:45:00,34.408,-119.685,0,Stearns Wharf,1300,320,2.317,4.9,4.9,NaN,200,920,0,18000,0.541,0.217,NaN,NaN,1.7,1.7,NaN,0.606,39000,340,0,6.923,50,17.4,NaN
2008,9,16,17:32:00,33.6061,-117.9311,0,Newport Pier,0,0,6.56,2.17,2.03,2.32,200,0,NaN,10399,1.06,0.22,NaN,NaN,1.1,1,1.2,0.22,36398,0,0,2,25,18,NaN
2008,9,16,18:44:00,35.17,-120.741,0,Cal Poly Pier,17060,12795,35.6,NaN,NaN,NaN,95,14928,NaN,0,0.02,0.17,17060,1720970,NaN,NaN,NaN,2.95,27723,0,0,116,25,15.5,NaN
2008,9,18,14:55:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.43,1.78,1.75,1.81,NaN,NaN,NaN,NaN,0.16,0.01,NaN,NaN,0.37,0.35,0.38,0.32,NaN,NaN,NaN,4.5,NaN,18.5,NaN
2008,9,22,14:45:00,32.867,-117.257,0,Scripps Pier,0,0,0.18,2.15,2.14,2.15,200,0,NaN,0,0.13,0.02,NaN,NaN,0.37,0.38,0.35,0.25,1200,480,0,4.2,50,19,NaN
2008,9,22,15:27:00,33.6061,-117.9311,0,Newport Pier,0,0,3.05,1.28,1.26,1.3,200,0,NaN,0,1.19,0.39,NaN,NaN,0.5,0.7,0.3,0.38,0,0,0,1.5,25,21,NaN
2008,9,22,16:15:00,35.17,-120.741,0,Cal Poly Pier,4265,0,0.2,28.83,31.5,26.16,150,2133,NaN,0,6.04,0.74,76772,452101,-0.27,-0.21,-0.33,1.34,8530,21326,6398,90.37,25,14.1,NaN
2008,9,22,16:30:00,34.408,-119.685,0,Stearns Wharf,100,0,1.347,1.86,1.86,NaN,200,600,0,400,0.507,0.096,NaN,NaN,0.36,0.36,NaN,0.343,10100,1900,300,4.015,50,17.8,NaN
2008,9,25,15:45:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.32,2.92,2.91,2.93,NaN,NaN,NaN,NaN,0.16,0.01,NaN,NaN,0.48,0.46,0.5,0.29,NaN,NaN,NaN,4.3,NaN,18.7,NaN
2008,9,29,15:28:00,33.6061,-117.9311,0,Newport Pier,0,0,2.91,7.41,7.56,7.26,200,0,NaN,10399,0.69,NaN,NaN,NaN,1.2,1.1,1.3,0.36,77995,0,0,3.8,25,17,NaN
2008,9,29,15:45:00,32.867,-117.257,0,Scripps Pier,0,0,0.44,2.48,2.48,2.48,200,0,NaN,160,0.2,0.02,NaN,NaN,0.71,0.7,0.71,0.33,560,960,0,3.4,50,18.1,NaN
2008,9,29,16:30:00,34.008,-118.499,0,Santa Monica Pier,0,0,0.93,2.4057,2.4057,NaN,200,187,NaN,187,0.36,0.1,561,7574,NaN,NaN,NaN,0.2,3740,0,0,4.58,NaN,19.9,500
2008,9,29,17:00:00,34.408,-119.685,0,Stearns Wharf,0,0,2.335,1.82,1.82,NaN,200,0,0,0,1.228,0.278,NaN,NaN,0.82,0.82,NaN,0.472,4400,9600,2800,5.737,50,16.4,NaN
2008,9,29,18:57:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.62,25,28.91,21.09,150,0,NaN,0,0.79,0.32,2133,155676,2.32,1.28,3.35,0.26,21326,0,0,74.67,25,15.3,NaN
2008,10,2,15:15:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,2133,NaN,0,NaN,NaN,0,130086,NaN,NaN,NaN,NaN,10663,0,0,NaN,25,16,NaN
2008,10,2,15:40:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.33,1.82,1.82,1.82,NaN,NaN,NaN,NaN,0.17,0.04,NaN,NaN,0.33,0.31,0.34,0.26,NaN,NaN,NaN,3.2,NaN,20.1,NaN
2008,10,6,15:15:00,32.867,-117.257,0,Scripps Pier,0,0,0.98,1.32,1.34,1.29,200,0,NaN,80,0.28,0.04,NaN,NaN,0.56,0.55,0.56,0.28,880,1040,0,3.4,50,19.2,NaN
2008,10,6,15:43:00,35.17,-120.741,0,Cal Poly Pier,2133,0,1.19,10.01,9.87,10.15,150,4265,NaN,0,2,0.23,6398,72507,0.17,0.04,0.3,0.53,49049,0,0,70.73,25,14.3,NaN
2008,10,6,15:48:00,33.6061,-117.9311,0,Newport Pier,0,0,2.18,2.54,2.4,2.67,200,0,NaN,0,0.44,NaN,NaN,NaN,0.85,0.8,0.9,0.43,0,0,0,5.62,25,19,NaN
2008,10,6,16:20:00,34.408,-119.685,0,Stearns Wharf,900,4300,6.714,8.04,8.04,NaN,200,1200,0,300,0.375,0.233,NaN,NaN,2.6,2.6,NaN,0.627,172000,15300,13400,4.356,50,18.1,NaN
2008,10,6,16:30:00,34.008,-118.499,0,Santa Monica Pier,0,0,4.33,2.00475,2.00475,NaN,200,0,NaN,280,3.84,0.31,6638,2805,NaN,NaN,NaN,0.43,2057,0,187,7.46,NaN,18.2,500
2008,10,9,15:30:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.65,2.28,2.24,2.32,NaN,NaN,NaN,NaN,0.35,0.04,NaN,NaN,0.58,0.54,0.61,0.21,NaN,NaN,NaN,3,NaN,19.8,NaN
2008,10,9,15:44:00,35.17,-120.741,0,Cal Poly Pier,2133,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,63977,NaN,NaN,NaN,NaN,2133,0,0,NaN,25,14.2,NaN
2008,10,13,16:10:00,32.867,-117.257,0,Scripps Pier,0,0,0.92,2.37,2.37,2.37,200,0,NaN,160,1,0.04,NaN,NaN,0.53,0.52,0.53,0.27,5760,960,0,3.3,50,18.1,NaN
2008,10,13,16:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,6.84,1.4,1.39,1.4,250,0,NaN,0,12.65,0.51,8530,8530,0.42,0.47,0.36,1.79,4265,0,0,97.7,25,12.3,NaN
2008,10,13,16:59:00,33.6061,-117.9311,0,Newport Pier,0,0,5.9,1.94,1.79,2.08,200,0,NaN,0,1.66,0.38,NaN,NaN,1.58,1.41,1.76,0.42,0,0,0,3,25,15,NaN
2008,10,13,17:30:00,34.008,-118.499,0,Santa Monica Pier,0,0,4.99,0.8019,0.8019,NaN,200,0,NaN,0,6.44,0.57,38023,0,NaN,NaN,NaN,0.86,1039,2078,0,5.48,NaN,15.4,450
2008,10,16,15:15:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.52,2.29,2.25,2.32,NaN,NaN,NaN,NaN,0.38,0.06,NaN,NaN,0.76,0.77,0.74,0.35,NaN,NaN,NaN,4.4,NaN,16.6,NaN
2008,10,16,16:00:00,35.17,-120.741,0,Cal Poly Pier,0,2133,NaN,NaN,NaN,NaN,NaN,8530,NaN,0,NaN,NaN,0,652561,NaN,NaN,NaN,NaN,21326,0,0,NaN,25,13.6,NaN
2008,10,20,14:00:00,34.008,-118.499,0,Santa Monica Pier,0,0,2.71552,3.6,3.6,NaN,200,0,0.04,5610,1.34071,0.275778,5984,0,NaN,NaN,NaN,0.62195,42262,0,0,4.50644,NaN,16.8,500
2008,10,20,15:10:00,32.867,-117.257,0,Scripps Pier,0,0,0.83,1.74,1.73,1.75,200,0,NaN,0,0.31,0.03,NaN,NaN,0.67,0.65,0.69,0.34,400,960,2240,2.2,50,16.6,NaN
2008,10,20,15:14:00,33.6061,-117.9311,0,Newport Pier,0,0,2.5,1.13,1.12,1.14,200,0,NaN,0,0.6,NaN,NaN,NaN,0.57,0.65,0.5,0.28,10399,0,0,2.83,25,17,NaN
2008,10,20,15:20:00,35.17,-120.741,0,Cal Poly Pier,12795,0,1.96,67.21,68.87,65.55,NaN,2133,NaN,0,5.13,0.79,8530,746394,10.19,10.88,9.49,1.24,49049,0,0,71.13,25,13.6,NaN
2008,10,21,16:00:00,34.408,-119.685,0,Stearns Wharf,100,0,2.799,4.21,4.21,NaN,200,600,0,300,0.403,0.222,NaN,NaN,2.04,2.04,NaN,0.597,463000,22000,32000,4.691,50,15.3,NaN
2008,10,23,15:20:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.39,0.94,0.93,0.95,NaN,NaN,NaN,NaN,0.29,0.03,NaN,NaN,0.42,0.44,0.4,0.34,NaN,NaN,NaN,1.9,NaN,16.2,NaN
2008,10,23,15:30:00,35.17,-120.741,0,Cal Poly Pier,0,8530,NaN,NaN,NaN,NaN,NaN,2133,NaN,0,NaN,NaN,2133,78904,NaN,NaN,NaN,NaN,4265,0,0,NaN,25,13.6,NaN
2008,10,27,15:05:00,35.17,-120.741,0,Cal Poly Pier,0,6398,2.01,16.59,17.24,15.95,150,4265,NaN,0,4.76,0.33,0,87435,1.83,1.94,1.72,0.83,8530,0,0,65.87,25,13.9,NaN
2008,10,27,15:15:00,34.408,-119.685,0,Stearns Wharf,42000,1200,3.711,3.31,3.31,NaN,200,800,0,1400,0.358,0.559,NaN,NaN,1.24,1.24,NaN,0.426,79000,200,3800,3.793,50,16.7,NaN
2008,10,27,15:20:00,32.867,-117.257,0,Scripps Pier,0,0,1.05,0.91,0.91,0.91,200,0,NaN,80,0.59,0.04,NaN,NaN,0.81,0.8,0.82,0.36,160,320,400,2.3,50,17.6,NaN
2008,10,27,15:31:00,33.6061,-117.9311,0,Newport Pier,0,0,2.1,1.15,1.15,1.15,200,10399,NaN,0,0.57,NaN,NaN,NaN,0.53,0.58,0.48,0.31,0,0,0,2.46,25,18,NaN
2008,10,28,18:00:00,34.008,-118.499,0,Santa Monica Pier,0,0,1.71701,1.4,1.4,NaN,200,0,NaN,4114,0.923778,0.130441,1309,0,NaN,NaN,NaN,0.482482,9163,0,0,2.12339,NaN,18.8,500
2008,10,30,14:50:00,35.17,-120.741,0,Cal Poly Pier,4265,0,NaN,NaN,NaN,NaN,NaN,2133,NaN,0,NaN,NaN,2133,81037,NaN,NaN,NaN,NaN,14928,0,0,NaN,25,14.3,NaN
2008,10,30,15:40:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.38,0.43,0.43,0.43,NaN,NaN,NaN,NaN,0.32,0.02,NaN,NaN,0.18,0.18,0.18,0.29,NaN,NaN,NaN,2.2,NaN,18.3,NaN
2008,11,3,16:06:00,33.6061,-117.9311,0,Newport Pier,0,0,2.61,2.18,2.28,2.08,200,0,NaN,0,0.54,0.13,NaN,NaN,0.88,0.99,0.77,0.37,5200,0,0,2.64,25,18,NaN
2008,11,3,16:40:00,35.17,-120.741,0,Cal Poly Pier,4265,0,2,16.73,17.28,16.18,200,6398,0.05,0,3.55,0.36,2133,72507,2.21,2.27,2.15,0.63,19193,0,0,78.09,25,14.3,NaN
2008,11,3,16:50:00,32.867,-117.257,0,Scripps Pier,0,0,0.84,0.85,0.86,0.83,200,80,NaN,0,0.84,0.12,NaN,NaN,0.97,0.9,1.04,0.5,400,1120,1280,4.3,50,16.2,NaN
2008,11,3,17:30:00,34.008,-118.499,0,Santa Monica Pier,0,187,0.801274,6.85,6.85,NaN,200,0,NaN,2244,1.15896,0.116899,2244,3366,NaN,NaN,NaN,0.445813,3179,0,0,3.02075,NaN,17.4,250
2008,11,3,18:30:00,34.408,-119.685,0,Stearns Wharf,150,0,6.437,4.73,4.73,NaN,200,100,0,10500,0.877,0.335,NaN,NaN,0.76,0.76,NaN,0.724,10200,0,100,6.248,50,18.3,NaN
2008,11,6,16:50:00,35.17,-120.741,0,Cal Poly Pier,2133,2133,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,42651,NaN,NaN,NaN,NaN,17060,0,0,NaN,25,14.9,NaN
2008,11,6,17:15:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.61,1.93,1.91,1.95,NaN,NaN,NaN,NaN,0.47,0.04,NaN,NaN,0.83,0.84,0.82,0.34,NaN,NaN,NaN,2.8,NaN,17.5,NaN
2008,11,10,15:30:00,33.6061,-117.9311,0,Newport Pier,NaN,NaN,2.38,5.07,4.73,5.41,200,NaN,NaN,NaN,2.04,0.31,NaN,NaN,1.63,1.47,1.79,0.47,NaN,NaN,NaN,5,NaN,16,NaN
